Rxn name	Formula	Gene-reaction association	LB	UB	Objective
PPNCL3	4ppan_c[c] + atp_c[c] + cys__L_c[c]  -> 4ppcys_c[c] + amp_c[c] + h_c[c] + ppi_c[c] 	RTMO03625	  0.00	1000.00	  0.00
GARFT	10fthf_c[c] + gar_c[c]  -> fgam_c[c] + h_c[c] + thf_c[c] 	RTMO00387	  0.00	1000.00	  0.00
APATi	accoa_c[c] + h2o_c[c] + thdp_c[c]  -> acamoxm_c[c] + coa_c[c] 	RTMO00846	  0.00	1000.00	  0.00
IPMD	3c2hmp_c[c] + nad_c[c]  -> 3c4mop_c[c] + h_c[c] + nadh_c[c] 	RTMO02723	  0.00	1000.00	  0.00
MTRI	5mdr1p_c[c]  -> 5mdru1p_c[c] 	RTMO02723	  0.00	1000.00	  0.00
MDRPD	5mdru1p_c[c] + h_c[c]  -> dkmpp_c[c] + h2o_c[c] 	RTMO02723	  0.00	1000.00	  0.00
23DK5MPPISO	dkmpp_c[c] + h_c[c]  -> hkmpp_c[c] 	RTMO02723	  0.00	1000.00	  0.00
DHAD1	23dhmb_c[c]  -> 3mob_c[c] + h2o_c[c] + h_c[c] 	RTMO01987	  0.00	1000.00	  0.00
2OH3K5MPPISO	h2o_c[c] + hkmpp_c[c]  -> dhmtp_c[c] + 2 h_c[c] + pi_c[c] 	RTMO01876	  0.00	1000.00	  0.00
ACDO	dhmtp_c[c] + o2_c[c]  -> 4met2obut_c[c] + for_c[c] + 2 h_c[c] 	RTMO01876	  0.00	1000.00	  0.00
DLDLBT	4r5au_c[c] + db4p_c[c]  -> dmlz_c[c] + 2 h2o_c[c] + h_c[c] + pi_c[c] 	RTMO12345	  0.00	1000.00	  0.00
PRFGS	atp_c[c] + fgam_c[c] + gln__L_c[c] + h2o_c[c]  -> adp_c[c] + fpram_c[c] + glu__L_c[c] + h_c[c] + pi_c[c] 	RTMO00384 or RTMO00382 or RTMO00383	  0.00	1000.00	  0.00
APTA1i	acamoxm_c[c] + glu__L_c[c]  -> 26dapime_c[c] + akg_c[c] 	RTMO12345	  0.00	1000.00	  0.00
AMPMPT	4ampm_c[c] + atp_c[c] + h_c[c]  -> 2mahmp_c[c] + adp_c[c] 	RTMO02818 or RTMO01875	  0.00	1000.00	  0.00
PYDXS	g3p_c[c] + gln__L_c[c] + ru5p__D_c[c]  -> glu__L_c[c] + 3 h2o_c[c] + h_c[c] + pi_c[c] + pydx5p_c[c] 	RTMO02907	  0.00	1000.00	  0.00
IG3PS	gln__L_c[c] + prlp_c[c]  -> aicar_c[c] + eig3p_c[c] + glu__L_c[c] + h_c[c] 	RTMO04006 or RTMO05095	  0.00	1000.00	  0.00
ADSL2r	25aics_c[c]  -> aicar_c[c] + fum_c[c] + 3 h_c[c] 	RTMO00380	  0.00	1000.00	  0.00
AICART	10fthf_c[c] + aicar_c[c]  -> fprica_c[c] + thf_c[c] 	RTMO00388	  0.00	1000.00	  0.00
PRASCSi	5aizc_c[c] + asp__L_c[c] + atp_c[c] + h_c[c]  -> 25aics_c[c] + adp_c[c] + pi_c[c] 	RTMO00381	  0.00	1000.00	  0.00
RZ5PP	5prdmbz_c[c] + h2o_c[c]  -> 2 h_c[c] + pi_c[c] + rdmbzi_c[c] 	RTMO01029	  0.00	1000.00	  0.00
AKP1	ahdt_c[c] + 3 h2o_c[c]  -> dhnpt_c[c] + 2 h_c[c] + 3 pi_c[c] 	RTMO01667	  0.00	1000.00	  0.00
PRMICI	prfp_c[c]  -> prlp_c[c] 	RTMO04007	  0.00	1000.00	  0.00
COOR	co_c[c] + 2 fdxox_c[c] + h2o_c[c]  -> co2_c[c] + 2 fdxrd_c[c] + 2 h_c[c] 	RTMO01435 or RTMO01438 or RTMO01437	  0.00	1000.00	  0.00
UPP1S	hmbil_c[c]  -> h2o_c[c] + uppg1_c[c] 	RTMO12345	  0.00	1000.00	  0.00
AMMQLT	2dmmq_c[c] + amet_c[c]  -> ahcys_c[c] + h_c[c] + qh2_c[c] 	RTMO02388	  0.00	1000.00	  0.00
KARI_23dhmp	3hmop_c[c] + 2 h_c[c] + nadph_c[c]  -> 23dhmp_c[c] + nadp_c[c] 	RTMO02720	  0.00	1000.00	  0.00
KARI	2ahbut_c[c]  -> 3hmop_c[c] + h_c[c] 	RTMO02720	  0.00	1000.00	  0.00
DHAD2	23dhmp_c[c]  -> 3mop_c[c] + h2o_c[c] + h_c[c] 	RTMO01987	  0.00	1000.00	  0.00
PC11M	amet_c[c] + pre4a_c[c]  -> ahcys_c[c] + h_c[c] + pre5a_c[c] 	RTMO02153	  0.00	1000.00	  0.00
CO1DAMT	atp_c[c] + co1dam_c[c] + h_c[c]  -> acda_c[c] + pppi_c[c] 	RTMO02147	  0.00	1000.00	  0.00
ACBIPGT	adocbip_c[c] + gtp_c[c]  -> agdpcbi_c[c] + 2 h_c[c] + ppi_c[c] 	RTMO01031	  0.00	1000.00	  0.00
ADOCBLS	agdpcbi_c[c] + rdmbzi_c[c]  -> adocbl_c[c] + gmp_c[c] 	RTMO01030	  0.00	1000.00	  0.00
ACDAH	acda_c[c] + 4 atp_c[c] + 4 gln__L_c[c] + 4 h2o_c[c]  -> adcobhex_c[c] + 4 adp_c[c] + 4 glu__L_c[c] + 8 h_c[c] + 4 pi_c[c] 	RTMO02150	  0.00	1000.00	  0.00
CYRDAR2	2 co2dam_c[c] + fmnh2_c[c]  -> 2 co1dam_c[c] + fmn_c[c] + 2 h_c[c] 	RTMO12345	  0.00	1000.00	  0.00
ACCOAT	accoa_c[c] + gam1p_c[c]  -> aagamp_c[c] + coa_c[c] 	RTMO02942	  0.00	1000.00	  0.00
ADCL	4adcho_c[c]  -> 4abz_c[c] + h_c[c] + pyr_c[c] 	RTMO02970	  0.00	1000.00	  0.00
GLUTRS	atp_c[c] + glu__L_c[c] + trnaglu_c[c]  -> amp_c[c] + glutrna_c[c] + ppi_c[c] 	RTMO04865	  0.00	1000.00	  0.00
HEPDPP	hepdp_c[c] + ipdp_c[c]  -> 2 h_c[c] + octdp_c[c] + ppi_c[c] 	RTMO00808 or RTMO00417	  0.00	1000.00	  0.00
HEXTT	hexdp_c[c] + ipdp_c[c]  -> h_c[c] + hepdp_c[c] + ppi_c[c] 	RTMO00808 or RTMO00417	  0.00	1000.00	  0.00
PPTT	ipdp_c[c] + pendp_c[c]  -> h_c[c] + hexdp_c[c] + ppi_c[c] 	RTMO00808 or RTMO00417	  0.00	1000.00	  0.00
DHNAOT4	dhna_c[c] + h_c[c] + octdp_c[c]  -> 2dmmq_c[c] + co2_c[c] + ppi_c[c] 	RTMO03220	  0.00	1000.00	  0.00
MEPCT	2me4p_c[c] + ctp_c[c]  -> 4c2me_c[c] + ppi_c[c] 	RTMO04863	  0.00	1000.00	  0.00
CDPMEK	4c2me_c[c] + atp_c[c]  -> 2p4c2me_c[c] + adp_c[c] 	RTMO02937	  0.00	1000.00	  0.00
DXPS	g3p_c[c] + h_c[c] + pyr_c[c]  -> co2_c[c] + dxyl5p_c[c] 	RTMO04050	  0.00	1000.00	  0.00
MECDPS	2p4c2me_c[c]  -> 2mecdp_c[c] + cmp_c[c] 	RTMO04864	  0.00	1000.00	  0.00
DXPRIi	dxyl5p_c[c] + h_c[c] + nadph_c[c]  -> 2me4p_c[c] + nadp_c[c] 	RTMO04551	  0.00	1000.00	  0.00
IPDPOR	h2mb4p_c[c] + h_c[c] + nadph_c[c]  -> h2o_c[c] + ipdp_c[c] + nadp_c[c] 	RTMO00109	  0.00	1000.00	  0.00
BGLUCH	cellulose_e[e] + 2 h2o_e[e]  -> 2 glc__D_e[e] 	RTMO01764	  0.00	1000.00	  0.00
CELLOHYDRO	cellulose_e[e] + h2o_e[e]  -> cellb_e[e] 	RTMO05004 or RTMO05028	  0.00	1000.00	  0.00
ADCPS2	adcobhex_c[c] + applp_c[c] + atp_c[c]  -> adocbip_c[c] + adp_c[c] + h_c[c] + pi_c[c] 	RTMO01033	  0.00	1000.00	  0.00
THRPD	h_c[c] + thrp_c[c]  -> applp_c[c] + co2_c[c] 	RTMO01032	  0.00	1000.00	  0.00
XU5PGT	h_c[c] + thmpp_c[c] + xu5p__D_c[c]  -> dhettp_c[c] + g3p_c[c] 	RTMO04464	  0.00	1000.00	  0.00
OBTFL	2obut_c[c] + coa_c[c] + h_c[c]  -> for_c[c] + ppcoa_c[c] 	RTMO02835 or RTMO02836	  0.00	1000.00	  0.00
H2MB4POR	h2mb4p_c[c] + h_c[c] + nadph_c[c]  -> dmpp_c[c] + h2o_c[c] + nadp_c[c] 	RTMO00109	  0.00	1000.00	  0.00
DHNCOAS	h_c[c] + sbzcoa_c[c]  -> 14dhncoa_c[c] + h2o_c[c] 	RTMO03226 or RTMO01623	  0.00	1000.00	  0.00
PMDPHT	5aprbu_c[c] + h2o_c[c]  -> 4r5au_c[c] + h_c[c] + pi_c[c] 	RTMO01959 or RTMO05107	  0.00	1000.00	  0.00
DB4PS	ru5p__D_c[c]  -> db4p_c[c] + for_c[c] + h_c[c] 	RTMO01075	  0.00	1000.00	  0.00
ARAT	4met2obut_c[c] + glu__L_c[c]  -> akg_c[c] + met__L_c[c] 	RTMO00246 or RTMO00859 or RTMO03134	  0.00	1000.00	  0.00
AIRC3	5caiz_c[c]  -> 5aizc_c[c] + h_c[c] 	RTMO12345	  0.00	1000.00	  0.00
AIRC2	air_c[c] + atp_c[c] + hco3_c[c]  -> 5caiz_c[c] + adp_c[c] + pi_c[c] 	RTMO00379	  0.00	1000.00	  0.00
HEMEOS	frdp_c[c] + h2o_c[c] + pheme_c[c]  -> h_c[c] + hemeO_c[c] + ppi_c[c] 	RTMO00417 or RTMO00808	  0.00	1000.00	  0.00
GLYHOR	gly_c[c] + o2_c[c]  -> dhgly_c[c] + h2o2_c[c] 	RTMO03651	  0.00	1000.00	  0.00
GGTT	ggdp_c[c] + ipdp_c[c]  -> h_c[c] + pendp_c[c] + ppi_c[c] 	RTMO00417 or RTMO00808	  0.00	1000.00	  0.00
MOD	3mob_c[c] + h_c[c] + thmpp_c[c]  -> 2mhop_c[c] + co2_c[c] 	RTMO01150 or RTMO01149	  0.00	1000.00	  0.00
MHOPT	2mhop_c[c] + lpam_c[c]  -> empdhll_c[c] + thmpp_c[c] 	RTMO01150 or RTMO01149	  0.00	1000.00	  0.00
MOD_4mop	4mop_c[c] + h_c[c] + thmpp_c[c]  -> 3mhtpp_c[c] + co2_c[c] 	RTMO01149 or RTMO01150	  0.00	1000.00	  0.00
MHTPPT	3mhtpp_c[c] + lpam_c[c]  -> dhpltra_c[c] + thmpp_c[c] 	RTMO01150 or RTMO01149	  0.00	1000.00	  0.00
EN6LYOR	edhyl_c[c] + nad_c[c]  -> h_c[c] + lpam_c[c] + nadh_c[c] 	RTMO00135 or RTMO00827 or RTMO01152	  0.00	1000.00	  0.00
SEPHCHCS	akg_c[c] + h_c[c] + ichor_c[c]  -> 2sephchc_c[c] + co2_c[c] 	RTMO03224	  0.00	1000.00	  0.00
SHCHCS3	2sephchc_c[c]  -> 2shchc_c[c] + pyr_c[c] 	RTMO12345	  0.00	1000.00	  0.00
ACHBS	2obut_c[c] + 2 h_c[c] + pyr_c[c]  -> 2ahbut_c[c] + co2_c[c] 	RTMO00549 or RTMO02719 or RTMO02716	  0.00	1000.00	  0.00
MECDPOR	2mecdp_c[c] + 2 fdxrd_c[c] + 2 h_c[c]  -> 2 fdxox_c[c] + h2mb4p_c[c] + h2o_c[c] 	RTMO00097	  0.00	1000.00	  0.00
MCOATA	ACP_c[c] + malcoa_c[c]  -> coa_c[c] + h_c[c] + malACP_c[c] 	RTMO12345	  0.00	1000.00	  0.00
3HAD40_1	3hbutACP_c[c]  -> but2eACP_c[c] + h2o_c[c] 	RTMO12345	  0.00	1000.00	  0.00
3OAS60	butACP_c[c] + h_c[c] + malACP_c[c]  -> 3ohexACP_c[c] + ACP_c[c] + co2_c[c] 	RTMO12345	  0.00	1000.00	  0.00
3HAD60	3hhexACP_c[c]  -> h2o_c[c] + thex2eACP_c[c] 	RTMO12345	  0.00	1000.00	  0.00
3OAS80	h_c[c] + hexACP_c[c] + malACP_c[c]  -> 3ooctACP_c[c] + ACP_c[c] + co2_c[c] 	RTMO12345	  0.00	1000.00	  0.00
3HAD80	3hoctACP_c[c]  -> h2o_c[c] + toct2eACP_c[c] 	RTMO12345	  0.00	1000.00	  0.00
3OAS100	h_c[c] + malACP_c[c] + ocACP_c[c]  -> 3odecACP_c[c] + ACP_c[c] + co2_c[c] 	RTMO12345	  0.00	1000.00	  0.00
3HAD100	3hdecACP_c[c]  -> h2o_c[c] + tdec2eACP_c[c] 	RTMO12345	  0.00	1000.00	  0.00
3OAS120	dcaACP_c[c] + h_c[c] + malACP_c[c]  -> 3oddecACP_c[c] + ACP_c[c] + co2_c[c] 	RTMO12345	  0.00	1000.00	  0.00
3HAD120	3hddecACP_c[c]  -> h2o_c[c] + tddec2eACP_c[c] 	RTMO12345	  0.00	1000.00	  0.00
3OAS140	ddcaACP_c[c] + h_c[c] + malACP_c[c]  -> 3omrsACP_c[c] + ACP_c[c] + co2_c[c] 	RTMO12345	  0.00	1000.00	  0.00
3HAD140	3hmrsACP_c[c]  -> h2o_c[c] + tmrs2eACP_c[c] 	RTMO12345	  0.00	1000.00	  0.00
3OAS160	h_c[c] + malACP_c[c] + myrsACP_c[c]  -> 3opalmACP_c[c] + ACP_c[c] + co2_c[c] 	RTMO12345	  0.00	1000.00	  0.00
3HAD160	3hpalmACP_c[c]  -> h2o_c[c] + tpalm2eACP_c[c] 	RTMO12345	  0.00	1000.00	  0.00
3OAS180	h_c[c] + malACP_c[c] + palmACP_c[c]  -> ACP_c[c] + co2_c[c] + oxstacp_c[c] 	RTMO12345	  0.00	1000.00	  0.00
3OAR180	h_c[c] + nadph_c[c] + oxstacp_c[c]  -> 3hoctaACP_c[c] + nadp_c[c] 	RTMO12345	  0.00	1000.00	  0.00
3HAD180	3hoctaACP_c[c]  -> h2o_c[c] + toctd2eACP_c[c] 	RTMO12345	  0.00	1000.00	  0.00
DHDPS	aspsa_c[c] + pyr_c[c]  -> 23dhdp_c[c] + h2o_c[c] + h_c[c] 	RTMO12345	  0.00	1000.00	  0.00
NH4t	nh4_e[e]  -> nh4_c[c] 	RTMO05956	  0.00	1000.00	  0.00
GLC__Dtabc	atp_c[c] + glc__D_e[e] + h2o_c[c]  -> adp_c[c] + glc__D_c[c] + h_c[c] + pi_c[c] 	RTMO05957	  0.00	1000.00	  0.00
FEtabc	atp_c[c] + fe2_e[e] + h2o_c[c]  -> adp_c[c] + fe2_c[c] + h_c[c] + pi_c[c] 	RTMO05958	  0.00	1000.00	  0.00
H2Ot	h2o_e[e]  -> h2o_c[c] 	RTMO05959	  0.00	1000.00	  0.00
O2t	o2_e[e]  -> o2_c[c] 	RTMO05960	  0.00	1000.00	  0.00
CO2t	co2_c[c]  -> co2_e[e] 	RTMO05961	  0.00	1000.00	  0.00
THMt	atp_c[c] + h2o_c[c] + thm_e[e]  -> adp_c[c] + h_c[c] + pi_c[c] + thm_c[c] 	RTMO05962	  0.00	1000.00	  0.00
COBALT2tabc	atp_c[c] + cobalt2_e[e] + h2o_c[c]  -> adp_c[c] + cobalt2_c[c] + h_c[c] + pi_c[c] 	RTMO05963	  0.00	1000.00	  0.00
ETOHt	etoh_c[c]  -> etoh_e[e] 	RTMO05964	  0.00	1000.00	  0.00
ACt	ac_c[c]  -> ac_e[e] 	RTMO05965	  0.00	1000.00	  0.00
LAC__Dt	h_c[c] + lac__D_c[c]  -> h_e[e] + lac__D_e[e] 	RTMO05966	  0.00	1000.00	  0.00
SUCCt	h_c[c] + succ_c[c]  -> h_e[e] + succ_e[e] 	RTMO05967	  0.00	1000.00	  0.00
LAC__Lt	h_c[c] + lac__L_c[c]  -> h_e[e] + lac__L_e[e] 	RTMO05968	  0.00	1000.00	  0.00
biomass	0.000357143 10fthf_c[c] + 0.000249107 accoa_c[c] + 0.000199107 adocbl_c[c] + 0.514187 ala__L_c[c] + 0.000199107 amet_c[c] + 0.119274 amp_c[c] + 0.18308 arg__L_c[c] + 0.221942 asn__L_c[c] + 0.221942 asp__L_c[c] + 152.31 atp_c[c] + 6.23441e-05 bacthiolbsh_c[c] + 1.55893e-07 bacthiolbssb_c[c] + 1.78571e-06 btn_c[c] + 0.0028125 ca2_c[c] + 0.000199107 chor_c[c] + 0.0295911 clpn_c[c] + 0.0914576 cmp_c[c] + 0.00015 coa_c[c] + 0.107866 cys__L_c[c] + 0.00774235 damp_c[c] + 0.00593671 dcmp_c[c] + 0.00593671 dgmp_c[c] + 0.00774235 dtmp_c[c] + 0.000199107 fad_c[c] + 0.0303599 fe3_c[c] + 0.000199107 fmn_c[c] + 0.104792 fru_c[c] + 0.00572411 gdpmann_c[c] + 0.322004 gln__L_c[c] + 0.322004 glu__L_c[c] + 0.407705 gly_c[c] + 0.0914576 gmp_c[c] + 152.28 h2o_c[c] + 0.000199107 hemeO_c[c] + 0.0778214 his__L_c[c] + 0.272795 ile__L_c[c] + 0.632321 k_c[c] + 0.347473 leu__L_c[c] + 0.317152 lys__L_c[c] + 0.0831875 met__L_c[c] + 0.0875 mg2_c[c] + 0.0144643 nad_c[c] + 0.0267393 nadh_c[c] + 0.00419643 nadp_c[c] + 0.00267857 nadph_c[c] + 0.02895 pe_c[c] + 0.0277116 pg_c[c] + 0.145116 phe__L_c[c] + 0.000199107 pheme_c[c] + 0.00107143 ppi_c[c] + 0.166536 pro__L_c[c] + 0.00535714 ptrc_c[c] + 0.000199107 pydx5p_c[c] + 0.000267857 qh2_c[c] + 0.000199107 ribflv_c[c] + 0.181134 ser__L_c[c] + 0.000199107 sheme_c[c] + 0.00107143 spmd_c[c] + 0.0025 sprm_c[c] + 8.75375e-05 succoa_c[c] + 0.000199107 thmpp_c[c] + 0.268768 thr__L_c[c] + 0.102625 trp__L_c[c] + 0.103598 tyr__L_c[c] + 0.0407366 udparab_c[c] + 0.00957589 udpg_c[c] + 0.189496 udpgal_c[c] + 0.182473 udpxyl_c[c] + 0.119274 ump_c[c] + 0.376143 val__L_c[c]  -> Biomass_c[c] + 152.28 adp_c[c] + 0.00572411 gdp_c[c] + 152.28 h_c[c] + 152.268 pi_c[c] + 0.422282 udp_c[c] 	RTMO05969	  0.00	1000.00	  1.00
EX_cl_e	cl_e[e]  -> 		  0.00	1000.00	  0.00
EX_nh4_e	nh4_e[e]  -> 		  0.00	1000.00	  0.00
EX_glc__D_e	glc__D_e[e]  -> 		  0.00	1000.00	  0.00
EX_thm_e	thm_e[e]  -> 		  0.00	1000.00	  0.00
EX_fe2_e	fe2_e[e]  -> 		  0.00	1000.00	  0.00
EX_h2o_e	h2o_e[e]  -> 		  0.00	1000.00	  0.00
EX_o2_e	o2_e[e]  -> 		  0.00	  0.00	  0.00
EX_co2_e	co2_e[e]  -> 		  0.00	1000.00	  0.00
EX_h_e	h_e[e]  -> 		  0.00	1000.00	  0.00
EX_cobalt2_e	cobalt2_e[e]  -> 		  0.00	1000.00	  0.00
EX_rib__D_e	rib__D_e[e]  -> 		  0.00	1000.00	  0.00
EX_glyc_e	glyc_e[e]  -> 		  0.00	1000.00	  0.00
EX_asn__L_e	asn__L_e[e]  -> 		  0.00	1000.00	  0.00
EX_pydx5p_e	pydx5p_e[e]  -> 		  0.00	1000.00	  0.00
EX_gthrd_e	gthrd_e[e]  -> 		  0.00	1000.00	  0.00
EX_Biomass_e	Biomass_e[e]  -> 		  0.00	1000.00	  0.00
EX_gal_e	gal_e[e]  -> 		  0.00	1000.00	  0.00
EX_etoh_e	etoh_e[e]  -> 		  0.00	1000.00	  0.00
EX_man_e	man_e[e]  -> 		  0.00	1000.00	  0.00
EX_arbt_e	arbt_e[e]  -> 		  0.00	1000.00	  0.00
EX_salcn_e	salcn_e[e]  -> 		  0.00	1000.00	  0.00
EX_tre_e	tre_e[e]  -> 		  0.00	1000.00	  0.00
EX_ac_e	ac_e[e]  -> 		  0.00	1000.00	  0.00
EX_succ_e	succ_e[e]  -> 		  0.00	1000.00	  0.00
EX_lac__D_e	lac__D_e[e]  -> 		  0.00	1000.00	  0.00
EX_lac__L_e	lac__L_e[e]  -> 		  0.00	1000.00	  0.00
EX_thmtp_e	thmtp_e[e]  -> 		  0.00	1000.00	  0.00
CMTEPISO	cmtdepp_c[c]  -> cthzp_c[c] 	RTMO05970	  0.00	1000.00	  0.00
DXYL5PTST	dhgly_c[c] + dxyl5p_c[c] + h_c[c] + tcscp_c[c]  -> cmtdepp_c[c] + 2 h2o_c[c] + scpgg_c[c] 	RTMO05971	  0.00	1000.00	  0.00
LCTST	cys__L_c[c] + enzcys_c[c]  -> ala__L_c[c] + enzscys_c[c] 	RTMO05972	  0.00	1000.00	  0.00
ATPTAT	atp_c[c] + 2 h_c[c] + scpgg_c[c]  -> ascp_c[c] + ppi_c[c] 	RTMO05973	  0.00	1000.00	  0.00
PHEAOR	h2o_c[c] + mqn_c[c] + phe__D_c[c]  -> nh4_c[c] + phpyr_c[c] + qh2_c[c] 	RTMO05980	  0.00	1000.00	  0.00
PYRLLOR	h_c[c] + lpam_c[c] + pyr_c[c]  -> adhlam_c[c] + co2_c[c] 	RTMO05981	  0.00	1000.00	  0.00
MOX	mal__L_c[c] + o2_c[c]  -> h2o2_c[c] + oaa_c[c] 	RTMO05982	  0.00	1000.00	  0.00
TRPS3	3ig3p_c[c]  -> g3p_c[c] + indole_c[c] 	RTMO05983	  0.00	1000.00	  0.00
PGL	6pgl_c[c] + h2o_c[c]  -> 6pgc_c[c] 	RTMO05984	  0.00	1000.00	  0.00
MAHMPDC	2mahmp_c[c] + cthzp_c[c]  -> co2_c[c] + h_c[c] + ppi_c[c] + thmmp_c[c] 	RTMO05985	  0.00	1000.00	  0.00
ACCOAACT	acylcoa_c[c] + glyc3p_c[c]  -> aglyc3p_c[c] + coa_c[c] 	RTMO05987	  0.00	1000.00	  0.00
ACCOATT	acylcoa_c[c] + aglyc3p_c[c]  -> coa_c[c] + pa_c[c] 	RTMO05988	  0.00	1000.00	  0.00
CTPPCT	ctp_c[c] + pa_c[c]  -> cdpdag_c[c] + h_c[c] + ppi_c[c] 	RTMO05989	  0.00	1000.00	  0.00
ACEDIA	acc_c[c] + alac__S_c[c]  -> co2_c[c] + diact_c[c] + hacc_c[c] 	RTMO05993	  0.00	1000.00	  0.00
CLt	cl_e[e]  -> cl_c[c] 	RTMO05998	  0.00	1000.00	  0.00
PYDX5Pt	pydx5p_c[c]  -> pydx5p_e[e] 	RTMO05999	  0.00	1000.00	  0.00
GTHRDt	gthrd_e[e]  -> gthrd_c[c] 	RTMO06000	  0.00	1000.00	  0.00
BIOMASSt	Biomass_c[c]  -> Biomass_e[e] 	RTMO06001	  0.00	1000.00	  0.00
THMTPt	thmtp_c[c]  -> thmtp_e[e] 	RTMO06002	  0.00	1000.00	  0.00
GLC__Dtpts	glc__D_e[e] + pep_c[c]  -> g6p_c[c] + pyr_c[c] 	RTMO06003	  0.00	1000.00	  0.00
FRUtpts	fru_e[e] + pep_c[c]  -> f6p_c[c] + pyr_c[c] 	RTMO06004	  0.00	1000.00	  0.00
ARAB__Ltabc	arab__L_e[e] + atp_c[c] + h2o_c[c]  -> adp_c[c] + arab__L_c[c] + h_c[c] + pi_c[c] 	RTMO06005	  0.00	1000.00	  0.00
XYL__Dtabc	atp_c[c] + h2o_c[c] + xyl__D_e[e]  -> adp_c[c] + h_c[c] + pi_c[c] + xyl__D_c[c] 	RTMO06006	  0.00	1000.00	  0.00
GALtabc	atp_c[c] + gal_e[e] + h2o_c[c]  -> adp_c[c] + gal_c[c] + h_c[c] + pi_c[c] 	RTMO06007	  0.00	1000.00	  0.00
MNLtpts	mnl_e[e] + pep_c[c]  -> mnl1p_c[c] + pyr_c[c] 	RTMO06008	  0.00	1000.00	  0.00
CELLBtpts	cellb_e[e] + pep_c[c]  -> cellb6p_c[c] + pyr_c[c] 	RTMO06009	  0.00	1000.00	  0.00
SUCRtpts	pep_c[c] + sucr_e[e]  -> h_c[c] + pyr_c[c] + suc6p_c[c] 	RTMO06010	  0.00	1000.00	  0.00
GLYCt	glyc_e[e]  -> glyc_c[c] 	RTMO06011	  0.00	1000.00	  0.00
RIB__Dtabc	atp_c[c] + h2o_c[c] + rib__D_e[e]  -> adp_c[c] + h_c[c] + pi_c[c] + rib__D_c[c] 	RTMO06012	  0.00	1000.00	  0.00
MANtpts	man_e[e] + pep_c[c]  -> man6p_c[c] + pyr_c[c] 	RTMO06013	  0.00	1000.00	  0.00
SBTtpts	pep_c[c] + sbt__D_e[e]  -> h_c[c] + pyr_c[c] + sbt6p_c[c] 	RTMO06014	  0.00	1000.00	  0.00
ACGAMtpts	acgam_e[e] + pep_c[c]  -> acgam6p_c[c] + pyr_c[c] 	RTMO06016	  0.00	1000.00	  0.00
ARBTtpts	arbt_e[e] + pep_c[c]  -> arbt6p_c[c] + h_c[c] + pyr_c[c] 	RTMO06017	  0.00	1000.00	  0.00
SALCNtpts	pep_c[c] + salcn_e[e]  -> pyr_c[c] + salcn6p_c[c] 	RTMO06018	  0.00	1000.00	  0.00
MALTtabc	atp_c[c] + h2o_c[c] + malt_e[e]  -> adp_c[c] + h_c[c] + malt_c[c] + pi_c[c] 	RTMO06019	  0.00	1000.00	  0.00
MALTtpts	malt_e[e] + pep_c[c]  -> malt6p_c[c] + pyr_c[c] 	RTMO06020	  0.00	1000.00	  0.00
TREtpts	pep_c[c] + tre_e[e]  -> pyr_c[c] + tre6p_c[c] 	RTMO06021	  0.00	1000.00	  0.00
RMNt	h_e[e] + rmn_e[e]  -> h_c[c] + rmn_c[c] 	RTMO06022	  0.00	1000.00	  0.00
MELIBt	h_e[e] + melib_e[e]  -> h_c[c] + melib_c[c] 	RTMO06026	  0.00	1000.00	  0.00
GTBIt	gtbi_e[e]  -> gtbi_c[c] 	RTMO06027	  0.00	1000.00	  0.00
GTBIHY	gtbi_c[c] + h2o_c[c]  -> 2 glc__D_c[c] 	RTMO06028	  0.00	1000.00	  0.00
TURAt	tura_e[e]  -> tura_c[c] 	RTMO06029	  0.00	1000.00	  0.00
TURAHY	h2o_c[c] + tura_c[c]  -> fru_c[c] + glc__D_c[c] 	RTMO06030	  0.00	1000.00	  0.00
KDG2t	kdg2_e[e]  -> kdg2_c[c] 	RTMO06031	  0.00	1000.00	  0.00
DGLCN5t	dglcn5_e[e]  -> dglcn5_c[c] 	RTMO06033	  0.00	1000.00	  0.00
MDGPt	mdgp_e[e]  -> mdgp_c[c] 	RTMO06035	  0.00	1000.00	  0.00
BGAL	h2o_c[c] + mdgp_c[c]  -> glc__D_c[c] + meoh_c[c] 	RTMO06036	  0.00	1000.00	  0.00
TAGtpts	pep_c[c] + tag__D_e[e]  -> h_c[c] + pyr_c[c] + tag1p__D_c[c] 	RTMO06038	  0.00	1000.00	  0.00
TAG1PK	atp_c[c] + h_c[c] + tag1p__D_c[c]  -> adp_c[c] + tagdp__D_c[c] 	RTMO06039	  0.00	1000.00	  0.00
AMYt	amylose_e[e]  -> amylose_c[c] 	RTMO06041	  0.00	1000.00	  0.00
PYRt	h_e[e] + pyr_e[e]  -> h_c[c] + pyr_c[c] 	RTMO06042	  0.00	1000.00	  0.00
EX_fru_e	fru_e[e]  -> 		  0.00	1000.00	  0.00
EX_arab__L_e	arab__L_e[e]  -> 		  0.00	1000.00	  0.00
EX_xyl__D_e	xyl__D_e[e]  -> 		  0.00	1000.00	  0.00
EX_mnl_e	mnl_e[e]  -> 		  0.00	1000.00	  0.00
EX_cellb_e	cellb_e[e]  -> 		  0.00	1000.00	  0.00
EX_sucr_e	sucr_e[e]  -> 		  0.00	1000.00	  0.00
EX_sbt__D_e	sbt__D_e[e]  -> 		  0.00	1000.00	  0.00
