Rxn name	Formula	Gene-reaction association	LB	UB	Objective
IPPS	3mob_c[c] + accoa_c[c] + h2o_c[c]  -> 3c3hmp_c[c] + coa_c[c] + h_c[c] 	RTMO02722	  0.00	1000.00	  0.00
VALTA	3mob_c[c] + glu__L_c[c]  -> akg_c[c] + val__L_c[c] 	RTMO02713	  0.00	1000.00	  0.00
MTHFD	mlthf_c[c] + nadp_c[c]  -> methf_c[c] + nadph_c[c] 	RTMO01996	  0.00	1000.00	  0.00
MOHMT	3mob_c[c] + h2o_c[c] + mlthf_c[c]  -> 2dhp_c[c] + thf_c[c] 	RTMO04195	  0.00	1000.00	  0.00
NTD9	gmp_c[c] + h2o_c[c]  -> gsn_c[c] + h_c[c] + pi_c[c] 	RTMO03070 or RTMO02081	  0.00	1000.00	  0.00
GMPS2	atp_c[c] + gln__L_c[c] + h2o_c[c] + xmp_c[c]  -> amp_c[c] + glu__L_c[c] + gmp_c[c] + 2 h_c[c] + ppi_c[c] 	RTMO00367	  0.00	1000.00	  0.00
CYSTL	cyst__L_c[c] + h2o_c[c]  -> hcys__L_c[c] + nh4_c[c] + pyr_c[c] 	RTMO03882 or RTMO04263	  0.00	1000.00	  0.00
RHCCE	rhcys_c[c]  -> dhptd_c[c] + hcys__L_c[c] 	RTMO03304	  0.00	1000.00	  0.00
OCBT	cbp_c[c] + orn__L_c[c]  -> citr__L_c[c] + 2 h_c[c] + pi_c[c] 	RTMO02594	  0.00	1000.00	  0.00
MTAN	5mta_c[c] + h2o_c[c]  -> 5mtr_c[c] + ade_c[c] 	RTMO02286	  0.00	1000.00	  0.00
THRS	h2o_c[c] + phom_c[c]  -> h_c[c] + pi_c[c] + thr__L_c[c] 	RTMO03252 or RTMO03096	  0.00	1000.00	  0.00
PGCD	3pg_c[c] + nad_c[c]  -> 3php_c[c] + h_c[c] + nadh_c[c] 	RTMO00769 or RTMO01865 or RTMO01320 or RTMO00568	  0.00	1000.00	  0.00
GND	6pgc_c[c] + nadp_c[c]  -> co2_c[c] + nadph_c[c] + ru5p__D_c[c] 	RTMO01234	  0.00	1000.00	  0.00
RPE	ru5p__D_c[c]  -> xu5p__D_c[c] 	RTMO04040	  0.00	1000.00	  0.00
MTHFC	h2o_c[c] + methf_c[c]  -> 10fthf_c[c] + h_c[c] 	RTMO01996	  0.00	1000.00	  0.00
DMATT	dmpp_c[c] + ipdp_c[c]  -> grdp_c[c] + h_c[c] + ppi_c[c] 	RTMO02389 or RTMO04049	  0.00	1000.00	  0.00
OMCDC	3c4mop_c[c] + h_c[c]  -> 4mop_c[c] + co2_c[c] 	RTMO05953	  0.00	1000.00	  0.00
CHORS	3psme_c[c]  -> chor_c[c] + h_c[c] + pi_c[c] 	RTMO04295	  0.00	1000.00	  0.00
CHORM	chor_c[c]  -> pphn_c[c] 	RTMO02398 or RTMO04297 or RTMO00995	  0.00	1000.00	  0.00
ADCS	chor_c[c] + gln__L_c[c]  -> 4adcho_c[c] + glu__L_c[c] 	RTMO02969 or RTMO02968	  0.00	1000.00	  0.00
ICHORS	chor_c[c]  -> ichor_c[c] 	RTMO03328 or RTMO03222	  0.00	1000.00	  0.00
PPND	nad_c[c] + pphn_c[c]  -> 34hpp_c[c] + co2_c[c] + nadh_c[c] 	RTMO03797	  0.00	1000.00	  0.00
HSK	atp_c[c] + hom__L_c[c]  -> adp_c[c] + phom_c[c] 	RTMO03097	  0.00	1000.00	  0.00
HSDy	aspsa_c[c] + h_c[c] + nadph_c[c]  -> hom__L_c[c] + nadp_c[c] 	RTMO03095	  0.00	1000.00	  0.00
CDPDAGPT	cdpdag_c[c] + h_c[c] + ser__L_c[c]  -> cmp_c[c] + ps_c[c] 	RTMO05123 or RTMO04923	  0.00	1000.00	  0.00
MPPM	man6p_c[c]  -> man1p_c[c] 	RTMO05282 or RTMO02036	  0.00	1000.00	  0.00
DDPA	e4p_c[c] + h2o_c[c] + pep_c[c]  -> 2dda7p_c[c] + h_c[c] + pi_c[c] 	RTMO02398	  0.00	1000.00	  0.00
TALA	g3p_c[c] + s7p_c[c]  -> e4p_c[c] + f6p_c[c] 	RTMO03966	  0.00	1000.00	  0.00
DHORD6	dhor__S_c[c] + nad_c[c]  -> h_c[c] + nadh_c[c] + orot_c[c] 	RTMO04130 or RTMO04129	  0.00	1000.00	  0.00
ORPT	orot_c[c] + prpp_c[c]  -> h_c[c] + orot5p_c[c] + ppi_c[c] 	RTMO04132	  0.00	1000.00	  0.00
XYLUPT	atp_c[c] + xylu__L_c[c]  -> adp_c[c] + xu1p__D_c[c] 	RTMO00470	  0.00	1000.00	  0.00
SPMS	ametam_c[c] + ptrc_c[c]  -> 5mta_c[c] + h_c[c] + spmd_c[c] 	RTMO02500 or RTMO00998	  0.00	1000.00	  0.00
ARGSS	asp__L_c[c] + atp_c[c] + citr__L_c[c]  -> amp_c[c] + argsuc_c[c] + h_c[c] + ppi_c[c] 	RTMO02414	  0.00	1000.00	  0.00
DGNSK	atp_c[c] + dgsn_c[c]  -> adp_c[c] + dgmp_c[c] 	RTMO02910	  0.00	1000.00	  0.00
DHORTS	cbasp_c[c] + h_c[c]  -> dhor__S_c[c] + h2o_c[c] 	RTMO04124 or RTMO01702	  0.00	1000.00	  0.00
FPPSh	grdp_c[c] + ipdp_c[c]  -> frdp_c[c] + h_c[c] + ppi_c[c] 	RTMO02389 or RTMO04049	  0.00	1000.00	  0.00
PGAMT	gam6p_c[c]  -> gam1p_c[c] 	RTMO03238	  0.00	1000.00	  0.00
FRTT	frdp_c[c] + ipdp_c[c]  -> ggdp_c[c] + h_c[c] + ppi_c[c] 	RTMO02389 or RTMO04049	  0.00	1000.00	  0.00
DADNK	atp_c[c] + dad_2_c[c]  -> adp_c[c] + damp_c[c] 	RTMO02909	  0.00	1000.00	  0.00
NDPK4	atp_c[c] + dtdp_c[c]  -> adp_c[c] + dttp_c[c] 	RTMO04294 or RTMO05248	  0.00	1000.00	  0.00
TMDS	dump_c[c] + mlthf_c[c]  -> dhf_c[c] + dtmp_c[c] 	RTMO02101	  0.00	1000.00	  0.00
NTD1	dump_c[c] + h2o_c[c]  -> duri_c[c] + h_c[c] + pi_c[c] 	RTMO03070 or RTMO02081	  0.00	1000.00	  0.00
STARCHHY2	starch_c[c]  -> dextrin_c[c] 	RTMO02765	  0.00	1000.00	  0.00
PUNP3	gsn_c[c] + h_c[c] + pi_c[c]  -> gua_c[c] + r1p_c[c] 	RTMO00732 or RTMO01098	  0.00	1000.00	  0.00
ILETA	3mop_c[c] + glu__L_c[c]  -> akg_c[c] + ile__L_c[c] 	RTMO02713	  0.00	1000.00	  0.00
DHFS	atp_c[c] + dhpt_c[c] + glu__L_c[c]  -> adp_c[c] + dhf_c[c] + h_c[c] + pi_c[c] 	RTMO02376	  0.00	1000.00	  0.00
DHPD	56dura_c[c] + h2o_c[c]  -> cala_c[c] 	RTMO01371	  0.00	1000.00	  0.00
G1SAT	glu1sa_c[c]  -> 5aop_c[c] 	RTMO03021 or RTMO00695	  0.00	1000.00	  0.00
ASAD	4pasp_c[c] + nadph_c[c]  -> aspsa_c[c] + nadp_c[c] + pi_c[c] 	RTMO04535	  0.00	1000.00	  0.00
PNP	pi_c[c] + rnam_c[c]  -> ncam_c[c] + r1p_c[c] 	RTMO00732 or RTMO01098	  0.00	1000.00	  0.00
FOMETRi	5fthf_c[c] + h_c[c]  -> h2o_c[c] + methf_c[c] 	RTMO00049	  0.00	1000.00	  0.00
SHKK	atp_c[c] + skm_c[c]  -> adp_c[c] + skm5p_c[c] 	RTMO02641	  0.00	1000.00	  0.00
